S No,Video url,Thumbnail,Title,Views,Published Time
21,https://www.youtube.com/watch?v=eHVVSQ7sOJ0,https://i.ytimg.com/vi/eHVVSQ7sOJ0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCAMfs7OX69NIWRqolksuALXIE4aw,b'NPTEL+ portal  Self paced courses and short term training programs | NPTEL Awareness E-Workshop |',1.2K,2 months ago
22,https://www.youtube.com/watch?v=cvORoD0WgIA,https://i.ytimg.com/vi/cvORoD0WgIA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCpITKudXghw3voijVpB-x9Petfig,b'NPTEL Soft skill training for LC students | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL',442,2 months ago
23,https://www.youtube.com/watch?v=b8u0bZpiA4I,https://i.ytimg.com/vi/b8u0bZpiA4I/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLAqRDRko7UazKz1WKSPcZSyLF39nw,b'NPTEL Stars | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL',376,2 months ago
24,https://www.youtube.com/watch?v=Zqhzl9E7ekk,https://i.ytimg.com/vi/Zqhzl9E7ekk/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLBby8-wt2YUtmhM7InMTQXwp_OdYQ,b'NPTEL: Exams and certificates | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL',1K,2 months ago
25,https://www.youtube.com/watch?v=X3tqWId4ASs,https://i.ytimg.com/vi/X3tqWId4ASs/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLBwOr_zTaQWzTkVehPs_z1qzJw5OQ,b'NPTEL - AICTE FDP initiative - for faculty | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTELNptel',2.4K,2 months ago
26,https://www.youtube.com/watch?v=X1v3kYiSG3Q,https://i.ytimg.com/vi/X1v3kYiSG3Q/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCLgKb152w01zFw_K5Msnuf2vm-xg,b'NPTEL Local Chapter participation | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL',121,2 months ago
27,https://www.youtube.com/watch?v=VRi5Ef7KVnU,https://i.ytimg.com/vi/VRi5Ef7KVnU/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLBOkw-cJkTmzhsklu6I4ZLWwZrHVw,b'LIVE   Problem solving sessions | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL',295,2 months ago
28,https://www.youtube.com/watch?v=RPkcy7F5D_0,https://i.ytimg.com/vi/RPkcy7F5D_0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLDESiq8I3wNlzzwPG0xkggtTWJ4Cw,b'NPTEL Local Chapter - for new spocs | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL',139,2 months ago
29,https://www.youtube.com/watch?v=QaC5RU41yuc,https://i.ytimg.com/vi/QaC5RU41yuc/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLB_ygSaS0vk3kCVSpxkYTThGkiv_w,b'NPTEL Partners with Microsoft/Ansys for certification | NPTEL Awareness E-Workshop | Ms. Bharathi',322,2 months ago
30,https://www.youtube.com/watch?v=K_ix72rsFPU,https://i.ytimg.com/vi/K_ix72rsFPU/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLArHEYOHsBn-mbBPjBooHaomiosTA,b'NPTEL Local Chapter Ratings | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL',177,2 months ago
